topic	word	pos	meaning_zh	chunk	chunk_zh	source_url	source_note	usage_note
教育与学习	curriculum	n.	课程体系；学校安排的学习内容	a broad curriculum	内容广泛的课程体系	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	syllabus	n.	某门课程的教学大纲	follow the course syllabus	按照课程大纲学习	https://www.oxfordlearnersdictionaries.com/definition/english/syllabus	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	literacy	n.	读写能力	develop literacy skills	培养读写能力	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	numeracy	n.	基本计算及理解数字的能力	basic numeracy skills	基本计算能力	https://www.oxfordlearnersdictionaries.com/definition/english/numeracy	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；扩展词的拼写已与 Oxford 词典在线词头核对。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	tuition	n.	教学；此处 tuition fees 指学费	pay tuition fees	支付学费	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	scholarship	n.	奖学金；另有学术研究义	apply for a scholarship	申请奖学金	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	qualification	n.	通过学习或考试取得的资格	a teaching qualification	教师资格	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	assessment	n.	对学习或表现的评估	continuous assessment	贯穿课程的持续评估	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	assignment	n.	指定作业或任务	submit an assignment	提交作业	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
教育与学习	lecture	n.	授课讲座；大学的大课	attend a lecture	听一场课或讲座	https://www.oxfordlearnersdictionaries.com/topic/education	主题范围参考 Oxford/BC 公开主题页（2026-09-15 核对）；词形与本地 Oxford 3000/5000 索引一致。本条中文义项与短搭配为自行整理，不是词典释义或例句的逐条复制；词形核对不表示搭配频率验证或量化高频排名，不按目标分数删词。	
